date,매매,분류,code,종목명,PER,PBR,ROE,현재가,연중최고가,연중최저가
2025/12/02/00:59,매수,외국인지분율상승,13870,지엠비코리아,4.88,0.27,5.8,3935,4265,-3405
2025/12/02/00:59,매수,외국인지분율상승,16670,디모아,5.73,0.38,6.2,4820,8960,-3375
2025/12/02/00:59,매수,외국인지분율상승,24850,HLB이노베이션,,1.02,-8.1,1736,3190,-1460
2025/12/02/00:59,매수,외국인지분율상승,32190,다우데이타,4.04,0.49,13.0,17340,20750,-9690
2025/12/02/00:59,매수,외국인지분율상승,33240,자화전자,26.86,1.08,4.3,20150,24300,-9940
2025/12/02/00:59,매수,외국인지분율상승,42370,비츠로테크,25.15,0.89,3.7,-7960,10980,-6570
2025/12/02/00:59,매수,외국인지분율상승,46390,삼화네트웍스,28.59,0.85,3.3,1235,1855,-1100
2025/12/02/00:59,매수,외국인지분율상승,57030,YBM넷,15.68,0.93,6.1,3050,5640,-2910
2025/12/02/00:59,매수,외국인지분율상승,60370,LS마린솔루션,64.39,4.67,8.0,27650,36500,-12960
2025/12/02/00:59,매수,외국인지분율상승,67160,SOOP,7.96,1.87,30.2,70100,135900,-67300
2025/12/02/00:59,매수,외국인지분율상승,97800,윈팩,,0.95,-53.1,538,923,-437
2025/12/02/00:59,매수,외국인지분율상승,99430,바이오플러스,24.41,2.41,10.8,-5690,8420,-5410
2025/12/02/00:59,매수,외국인지분율상승,108230,톱텍,4.89,0.41,9.1,4570,6170,-3630
2025/12/02/00:59,매수,외국인지분율상승,161000,애경케미칼,128.18,0.69,0.5,10490,13950,-5960
2025/12/02/00:59,매수,외국인지분율상승,177900,쓰리에이로직스,5.36,1.16,24.6,6170,11300,-5430
2025/12/02/00:59,매수,외국인지분율상승,189330,씨이랩,,3.1,-42.5,-4670,12000,-4410
2025/12/02/00:59,매수,외국인지분율상승,192090,TIGER 차이나CSI300,,,,12725,13080,-9085
2025/12/02/00:59,매수,외국인지분율상승,195870,해성디에스,15.26,1.61,11.0,52700,58500,-17850
2025/12/02/00:59,매수,외국인지분율상승,263770,유에스티,8.27,0.56,6.9,-1925,3055,-1860
2025/12/02/00:59,매수,외국인지분율상승,265520,AP시스템,5.83,0.88,15.7,19760,23450,-15210
2025/12/02/00:59,매수,외국인지분율상승,300120,라온피플,,1.44,-32.2,2095,5500,-1810
2025/12/02/00:59,매수,외국인지분율상승,348350,위드텍,12.22,0.69,6.0,8480,14440,-6310
2025/12/02/00:59,매수,외국인지분율상승,353190,휴럼,16.02,0.68,4.4,714,846,-654
2025/12/02/00:59,매수,외국인지분율상승,370090,퓨런티어,1613.97,2.21,0.1,12250,30750,-10400
2025/12/02/00:59,매수,외국인지분율상승,393890,더블유씨피,,0.26,-7.3,7500,12400,-6270
2025/12/02/00:59,매수,외국인지분율상승,396470,워트,34.27,1.84,5.5,7210,10800,-6310
2025/12/02/00:59,매수,외국인지분율상승,415640,KB발해인프라,,,,-9720,10600,-7070
2025/12/02/00:59,매수,외국인지분율상승,438700,버넥트,,1.12,-32.6,3275,7340,-2550
